Dataset,KGE_Method,Accuracy,Precision,Recall,F1 Score,AUC-ROC
ADNI,TransE,0.7953,0.7651,0.7525,0.7577,0.9247
ADNI,ConvE,0.8031,0.7726,0.7471,0.7521,0.9176
ADNI,ConvR,0.8189,0.8224,0.7563,0.769,0.9312
AIBL,TransE,0.759,0.4933,0.6076,0.5414,0.8267
AIBL,ConvE,0.8072,0.6602,0.6848,0.6542,0.8573
AIBL,ConvR,0.815,0.685,0.691,0.6875,0.8655
NACC,TransE,0.8114,0.767,0.7463,0.7541,0.9288
NACC,ConvE,0.8081,0.765,0.7491,0.7537,0.9283
NACC,ConvR,0.825,0.7785,0.762,0.7715,0.9355
PPMI,TransE,0.5692,0.4026,0.495,0.4435,0.7318
PPMI,ConvE,0.5692,0.5079,0.5113,0.5013,0.7735
PPMI,ConvR,0.612,0.551,0.535,0.542,0.7925
